Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
0.00016785,2507.17869791,0.00016654,0.00018183,0.00016785,0.00014121,BTC-OK,1923.0,3993.0,0.00017749999999999998,2017-09-14T06:23:03.72,15262977.90999089
0.00016785,2507.17869791,0.00016654,0.00018183,0.00016785,0.00014121,BTC-OK,1923.0,3993.0,0.00017749999999999998,2017-09-14T06:23:03.72,15262977.90999089
0.00016654,2507.10040162,0.00016653,0.00018183,0.00016654,0.00014121,BTC-OK,1925.0,3993.0,0.00017716,2017-09-14T06:24:08.167,15262592.66947291
0.00016785,2507.79172269,0.00016653,0.00018183,0.00016653,0.00014121,BTC-OK,1932.0,3995.0,0.00017716,2017-09-14T06:24:39.64,15266740.67667742
0.00016653,2508.00971517,0.00016651,0.00018183,0.00016653,0.00014121,BTC-OK,1931.0,3999.0,0.00017716,2017-09-14T06:25:05.5,15268155.36295404
0.00016651,2508.38103988,0.0001665,0.00018183,0.00016651,0.00014121,BTC-OK,1930.0,3993.0,0.00017715,2017-09-14T06:25:40.68,15270396.70118562
0.00016751,2508.32167278,0.00016654,0.00018183,0.00016654,0.00014121,BTC-OK,1935.0,3997.0,0.00017712,2017-09-14T06:26:13.853,15270067.47231567
0.00016751,2508.48211959,0.00016654,0.00018183,0.00016751,0.00014121,BTC-OK,1931.0,3993.0,0.00017712,2017-09-14T06:26:40.25,15271080.96554457
0.00016751,2510.73594765,0.0001675,0.00018183,0.00016654,0.00014121,BTC-OK,1934.0,3991.0,0.00017712,2017-09-14T06:27:09.22,15284631.16141168
0.00016751,2510.74690108,0.00016654,0.00018183,0.00016654,0.00014121,BTC-OK,1935.0,3995.0,0.00017712,2017-09-14T06:27:36.91,15284820.02049563
0.0001675,2510.74690108,0.00016654,0.00018183,0.00016654,0.00014121,BTC-OK,1935.0,3995.0,0.00017712,2017-09-14T06:27:50.977,15284820.02049563
0.00016749,2510.54024968,0.00016654,0.00018183,0.00016654,0.00014121,BTC-OK,1938.0,3998.0,0.00017658,2017-09-14T06:28:20.027,15283654.88324409
0.00016749,2512.10170227,0.0001665,0.00018183,0.0001665,0.00014121,BTC-OK,1929.0,4000.0,0.00017653,2017-09-14T06:29:04.14,15293114.28221055
0.000167,2512.11064783,0.00016654,0.00018183,0.000167,0.00014121,BTC-OK,1936.0,3999.0,0.00017622,2017-09-14T06:29:34.893,15293175.98598084
0.00016654,2511.65660611,0.00016651,0.00018183,0.00016654,0.00014121,BTC-OK,1934.0,4006.0,0.00017614,2017-09-14T06:30:02.383,15290626.13179098
0.0001665,2511.90371681,0.00016631,0.00018183,0.0001665,0.00014121,BTC-OK,1933.0,4005.0,0.00017614,2017-09-14T06:30:33.417,15292142.07018785
0.00016631,2511.72317135,0.000166,0.00018183,0.00016579,0.00014121,BTC-OK,1927.0,4006.0,0.000176,2017-09-14T06:31:06.547,15291282.55539782
0.00016631,2511.10170577,0.000166,0.00018183,0.00016631,0.00014121,BTC-OK,1930.0,4007.0,0.0001756,2017-09-14T06:31:25.36,15287769.01718444
0.0001665,2511.09087508,0.000166,0.00018183,0.0001665,0.00014121,BTC-OK,1930.0,4009.0,0.0001756,2017-09-14T06:31:48.3,15287726.07849103
