Ask,BaseVolume,Bid,High,Last,Low,Market,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,Volume
5.432e-05,2.48728327,5.346e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:22:18.167,46541.1145101
5.4299999999999985e-05,2.48728327,5.346e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:23:01.127,46541.1145101
5.428e-05,2.48728327,5.346e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:23:47.633,46541.1145101
5.426e-05,2.48728327,5.346e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:24:27.637,46541.1145101
5.448e-05,2.48728327,5.346e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:24:59.83,46541.1145101
5.447e-05,2.48728327,5.346e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:25:32.88,46541.1145101
5.446e-05,2.48728327,5.346e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:25:47.04,46541.1145101
5.444e-05,2.48728327,5.346e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:26:21.51,46541.1145101
5.444e-05,2.48728327,5.346e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:26:21.51,46541.1145101
5.350000000000001e-05,2.48728327,5.346e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:27:23.597,46541.1145101
5.350000000000001e-05,2.48728327,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:27:41.007,46541.1145101
5.350000000000001e-05,2.48728327,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:27:41.007,46541.1145101
5.350000000000001e-05,2.48728327,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:27:41.007,46541.1145101
5.350000000000001e-05,2.48728327,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:27:41.007,46541.1145101
5.350000000000001e-05,2.48728327,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:27:40.77,46541.1145101
5.350000000000001e-05,2.48728327,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:27:41.007,46541.1145101
5.350000000000001e-05,2.48728327,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:27:41.007,46541.1145101
5.350000000000001e-05,2.48728327,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:27:41.007,46541.1145101
5.350000000000001e-05,2.48728327,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:27:41.007,46541.1145101
5.350000000000001e-05,2.48728327,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:27:41.007,46541.1145101
5.350000000000001e-05,2.48728327,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:27:41.007,46541.1145101
5.350000000000001e-05,2.48728327,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:27:41.007,46541.1145101
5.350000000000001e-05,2.48728327,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:27:40.77,46541.1145101
5.350000000000001e-05,2.48728327,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:27:41.007,46541.1145101
5.350000000000001e-05,2.48728327,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:27:40.77,46541.1145101
5.350000000000001e-05,2.48728327,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,213.0,2028.0,5.267e-05,2017-09-14T06:27:41.007,46541.1145101
5.350000000000001e-05,2.472828,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,210.0,2036.0,5.366e-05,2017-09-14T06:35:54.05,46267.72127357
5.350000000000001e-05,2.472828,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,210.0,2036.0,5.366e-05,2017-09-14T06:35:54.05,46267.72127357
5.350000000000001e-05,2.472828,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,210.0,2036.0,5.366e-05,2017-09-14T06:35:54.05,46267.72127357
5.350000000000001e-05,2.472828,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,210.0,2036.0,5.366e-05,2017-09-14T06:35:54.05,46267.72127357
5.350000000000001e-05,2.472828,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,210.0,2036.0,5.366e-05,2017-09-14T06:35:54.05,46267.72127357
5.350000000000001e-05,2.472828,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,210.0,2036.0,5.366e-05,2017-09-14T06:35:54.05,46267.72127357
5.350000000000001e-05,2.472828,5.345e-05,5.518e-05,5.346e-05,5.216e-05,BTC-CURE,210.0,2036.0,5.366e-05,2017-09-14T06:38:49.21,46267.72127357
5.350000000000001e-05,2.48342613,5.345e-05,5.518e-05,5.350000000000001e-05,5.216e-05,BTC-CURE,211.0,2037.0,5.366e-05,2017-09-14T06:38:57.837,46465.81731563
5.359e-05,2.75254395,5.345e-05,5.518e-05,5.359e-05,5.216e-05,BTC-CURE,211.0,2028.0,5.366e-05,2017-09-14T06:39:49.56,51491.475087599996
5.359e-05,2.75254395,5.352e-05,5.518e-05,5.359e-05,5.216e-05,BTC-CURE,211.0,2028.0,5.366e-05,2017-09-14T06:39:52.64,51491.4750876
5.449e-05,2.75947335,5.36e-05,5.518e-05,5.359e-05,5.216e-05,BTC-CURE,213.0,2027.0,5.366e-05,2017-09-14T06:40:30.033,51620.77918657
5.45e-05,2.85943836,5.449e-05,5.518e-05,5.449e-05,5.216e-05,BTC-CURE,215.0,2027.0,5.366e-05,2017-09-14T06:41:11.867,53455.33661405
5.45e-05,2.85943836,5.449e-05,5.518e-05,5.449e-05,5.216e-05,BTC-CURE,215.0,2027.0,5.366e-05,2017-09-14T06:41:11.867,53455.33661405
5.45e-05,2.85657645,5.449e-05,5.518e-05,5.45e-05,5.216e-05,BTC-CURE,213.0,2027.0,5.303e-05,2017-09-14T06:41:42.337,53400.12743905
5.45e-05,2.85657645,5.449e-05,5.518e-05,5.45e-05,5.216e-05,BTC-CURE,213.0,2027.0,5.303e-05,2017-09-14T06:41:42.337,53400.12743905
5.45e-05,2.85657645,5.449e-05,5.518e-05,5.45e-05,5.216e-05,BTC-CURE,213.0,2027.0,5.303e-05,2017-09-14T06:41:42.337,53400.12743905
5.45e-05,2.85657645,5.449e-05,5.518e-05,5.45e-05,5.216e-05,BTC-CURE,213.0,2027.0,5.303e-05,2017-09-14T06:41:42.337,53400.12743905
5.5e-05,2.86158729,5.449e-05,5.518e-05,5.45e-05,5.216e-05,BTC-CURE,213.0,2027.0,5.307e-05,2017-09-14T06:44:57.97,53484.19801619
5.5e-05,2.86158729,5.449e-05,5.518e-05,5.45e-05,5.216e-05,BTC-CURE,213.0,2027.0,5.307e-05,2017-09-14T06:44:57.97,53484.19801619
5.5e-05,2.86158729,5.449e-05,5.518e-05,5.45e-05,5.216e-05,BTC-CURE,213.0,2027.0,5.307e-05,2017-09-14T06:44:57.97,53484.19801619
5.5e-05,2.86158729,5.449e-05,5.518e-05,5.45e-05,5.216e-05,BTC-CURE,213.0,2027.0,5.307e-05,2017-09-14T06:44:57.97,53484.19801619
5.5e-05,2.86158729,5.449e-05,5.518e-05,5.45e-05,5.216e-05,BTC-CURE,213.0,2027.0,5.307e-05,2017-09-14T06:44:57.97,53484.19801619
5.5e-05,2.86158729,5.449e-05,5.518e-05,5.45e-05,5.216e-05,BTC-CURE,213.0,2027.0,5.307e-05,2017-09-14T06:44:57.97,53484.19801619
